#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.00000    -14.677966    -14.677967
   0.03351    -14.674888    -14.674889
   0.06701    -14.665641    -14.665641
   0.10052    -14.650264    -14.650265
   0.13403    -14.628822    -14.628822
   0.16753    -14.601416    -14.601417
   0.20104    -14.568159    -14.568160
   0.23454    -14.529215    -14.529215
   0.26805    -14.484734    -14.484735
   0.30156    -14.434929    -14.434929
   0.33506    -14.380025    -14.380026
   0.36857    -14.320281    -14.320282
   0.40208    -14.255998    -14.255999
   0.43558    -14.187527    -14.187528
   0.46909    -14.115216    -14.115217
   0.50259    -14.039467    -14.039468
   0.53610    -13.960728    -13.960729
   0.56961    -13.879506    -13.879506
   0.60311    -13.796332    -13.796333
   0.63662    -13.711803    -13.711804
   0.67013    -13.626541    -13.626541
   0.70363    -13.541248    -13.541248
   0.73714    -13.456665    -13.456666
   0.77064    -13.373592    -13.373592
   0.80415    -13.292877    -13.292878
   0.83766    -13.215441    -13.215442
   0.87116    -13.142184    -13.142185
   0.90467    -13.074067    -13.074068
   0.93818    -13.012042    -13.012043
   0.97168    -12.957058    -12.957059
   1.00519    -12.909996    -12.909996
   1.03869    -12.871648    -12.871649
   1.07220    -12.842693    -12.842693
   1.10571    -12.823662    -12.823662
   1.13921    -12.814994    -12.814995
   1.13921    -12.814994    -12.814995
   1.15856    -12.814530    -12.814531
   1.17790    -12.813146    -12.813146
   1.19725    -12.810847    -12.810848
   1.21659    -12.807646    -12.807647
   1.23594    -12.803558    -12.803559
   1.25528    -12.798607    -12.798608
   1.27463    -12.792821    -12.792822
   1.29397    -12.786229    -12.786230
   1.31332    -12.778869    -12.778869
   1.33266    -12.770782    -12.770782
   1.35201    -12.762015    -12.762016
   1.37135    -12.752619    -12.752620
   1.39070    -12.742649    -12.742649
   1.41004    -12.732164    -12.732165
   1.42939    -12.721233    -12.721233
   1.44873    -12.709921    -12.709922
   1.46807    -12.698307    -12.698308
   1.48742    -12.686470    -12.686470
   1.50676    -12.674493    -12.674493
   1.52611    -12.662464    -12.662464
   1.54545    -12.650474    -12.650475
   1.56480    -12.638620    -12.638620
   1.58414    -12.627004    -12.627004
   1.60349    -12.615724    -12.615725
   1.62283    -12.604897    -12.604898
   1.64218    -12.594626    -12.594627
   1.66152    -12.585028    -12.585028
   1.68087    -12.576219    -12.576219
   1.70021    -12.568312    -12.568313
   1.71956    -12.561428    -12.561428
   1.73890    -12.555684    -12.555685
   1.75825    -12.551201    -12.551202
   1.77759    -12.548098    -12.548098
   1.79694    -12.546529    -12.546530
   1.79694    -12.546529    -12.546530
   1.83563    -12.553149    -12.553149
   1.87432    -12.567280    -12.567280
   1.91301    -12.589424    -12.589424
   1.95170    -12.620035    -12.620036
   1.99039    -12.659380    -12.659381
   2.02908    -12.707514    -12.707514
   2.06776    -12.764278    -12.764279
   2.10645    -12.829301    -12.829302
   2.14514    -12.902019    -12.902019
   2.18383    -12.981699    -12.981700
   2.22252    -13.067467    -13.067467
   2.26121    -13.158329    -13.158330
   2.29990    -13.253270    -13.253270
   2.33859    -13.351245    -13.351246
   2.37728    -13.451190    -13.451190
   2.41597    -13.552063    -13.552063
   2.45466    -13.652873    -13.652874
   2.49335    -13.752679    -13.752679
   2.53204    -13.850602    -13.850602
   2.57073    -13.945827    -13.945828
   2.60942    -14.037593    -14.037594
   2.64811    -14.125192    -14.125193
   2.68680    -14.208001    -14.208002
   2.72549    -14.285451    -14.285451
   2.76418    -14.357037    -14.357038
   2.80287    -14.422282    -14.422282
   2.84156    -14.480780    -14.480781
   2.88025    -14.532187    -14.532187
   2.91894    -14.576192    -14.576193
   2.95763    -14.612558    -14.612559
   2.99632    -14.641061    -14.641061
   3.03501    -14.661535    -14.661535
   3.07370    -14.673860    -14.673861
   3.11239    -14.677966    -14.677967
 
# Band-Index:    2
   3.11239    -14.578634    -14.578635
   3.07370    -14.574552    -14.574553
   3.03501    -14.562332    -14.562332
   2.99632    -14.542046    -14.542047
   2.95763    -14.513817    -14.513818
   2.91894    -14.477813    -14.477814
   2.88025    -14.434248    -14.434248
   2.84156    -14.383404    -14.383405
   2.80287    -14.325589    -14.325590
   2.76418    -14.261175    -14.261175
   2.72549    -14.190584    -14.190584
   2.68680    -14.114291    -14.114291
   2.64811    -14.032838    -14.032838
   2.60942    -13.946821    -13.946822
   2.57073    -13.856905    -13.856906
   2.53204    -13.763784    -13.763785
   2.49335    -13.668245    -13.668246
   2.45466    -13.571131    -13.571132
   2.41597    -13.473335    -13.473336
   2.37728    -13.375815    -13.375816
   2.33859    -13.279586    -13.279586
   2.29990    -13.185668    -13.185669
   2.26121    -13.095098    -13.095098
   2.22252    -13.008913    -13.008914
   2.18383    -12.928124    -12.928124
   2.14514    -12.853639    -12.853640
   2.10645    -12.786280    -12.786281
   2.06776    -12.726719    -12.726720
   2.02908    -12.675480    -12.675480
   1.99039    -12.632873    -12.632874
   1.95170    -12.599022    -12.599023
   1.91301    -12.573861    -12.573861
   1.87432    -12.557078    -12.557079
   1.83563    -12.548181    -12.548182
   1.79694    -12.546439    -12.546440
   1.79694    -12.546439    -12.546440
   1.77759    -12.547913    -12.547913
   1.75825    -12.551012    -12.551013
   1.73890    -12.555493    -12.555494
   1.71956    -12.561235    -12.561236
   1.70021    -12.568118    -12.568119
   1.68087    -12.576024    -12.576025
   1.66152    -12.584832    -12.584833
   1.64218    -12.594430    -12.594431
   1.62283    -12.604700    -12.604701
   1.60349    -12.615527    -12.615528
   1.58414    -12.626806    -12.626807
   1.56480    -12.638422    -12.638423
   1.54545    -12.650276    -12.650277
   1.52611    -12.662265    -12.662266
   1.50676    -12.674294    -12.674295
   1.48742    -12.686271    -12.686272
   1.46807    -12.698108    -12.698109
   1.44873    -12.709722    -12.709723
   1.42939    -12.721034    -12.721034
   1.41004    -12.731965    -12.731966
   1.39070    -12.742450    -12.742450
   1.37135    -12.752420    -12.752420
   1.35201    -12.761816    -12.761817
   1.33266    -12.770582    -12.770583
   1.31332    -12.778670    -12.778670
   1.29397    -12.786030    -12.786031
   1.27463    -12.792622    -12.792622
   1.25528    -12.798408    -12.798409
   1.23594    -12.803359    -12.803360
   1.21659    -12.807447    -12.807447
   1.19725    -12.810648    -12.810649
   1.17790    -12.812947    -12.812947
   1.15856    -12.814331    -12.814331
   1.13921    -12.814795    -12.814795
   1.13921    -12.814795    -12.814795
   1.10571    -12.816514    -12.816515
   1.07220    -12.828444    -12.828444
   1.03869    -12.850395    -12.850396
   1.00519    -12.881913    -12.881914
   0.97168    -12.922351    -12.922352
   0.93818    -12.970979    -12.970979
   0.90467    -13.026973    -13.026974
   0.87116    -13.089434    -13.089435
   0.83766    -13.157434    -13.157435
   0.80415    -13.230023    -13.230024
   0.77064    -13.306283    -13.306283
   0.73714    -13.385299    -13.385300
   0.70363    -13.466229    -13.466230
   0.67013    -13.548245    -13.548246
   0.63662    -13.630570    -13.630570
   0.60311    -13.712487    -13.712487
   0.56961    -13.793336    -13.793336
   0.53610    -13.872504    -13.872504
   0.50259    -13.949424    -13.949425
   0.46909    -14.023603    -14.023604
   0.43558    -14.094557    -14.094557
   0.40208    -14.161861    -14.161862
   0.36857    -14.225123    -14.225123
   0.33506    -14.283994    -14.283994
   0.30156    -14.338162    -14.338163
   0.26805    -14.387353    -14.387353
   0.23454    -14.431325    -14.431325
   0.20104    -14.469867    -14.469867
   0.16753    -14.502785    -14.502786
   0.13403    -14.529926    -14.529926
   0.10052    -14.551163    -14.551163
   0.06701    -14.566401    -14.566401
   0.03351    -14.575572    -14.575573
   0.00000    -14.578634    -14.578635
 
# Band-Index:    3
   0.00000    -14.578459    -14.578460
   0.03351    -14.575398    -14.575398
   0.06701    -14.566226    -14.566227
   0.10052    -14.550988    -14.550988
   0.13403    -14.529750    -14.529750
   0.16753    -14.502605    -14.502606
   0.20104    -14.469675    -14.469676
   0.23454    -14.431111    -14.431111
   0.26805    -14.387096    -14.387096
   0.30156    -14.337837    -14.337838
   0.33506    -14.283568    -14.283569
   0.36857    -14.224566    -14.224567
   0.40208    -14.161131    -14.161132
   0.43558    -14.093610    -14.093610
   0.46909    -14.022386    -14.022387
   0.50259    -13.947874    -13.947874
   0.53610    -13.870548    -13.870549
   0.56961    -13.790894    -13.790894
   0.60311    -13.709460    -13.709460
   0.63662    -13.626849    -13.626850
   0.67013    -13.543700    -13.543700
   0.70363    -13.460709    -13.460709
   0.73714    -13.378626    -13.378626
   0.77064    -13.298265    -13.298265
   0.80415    -13.220448    -13.220448
   0.83766    -13.146061    -13.146062
   0.87116    -13.076005    -13.076006
   0.90467    -13.011202    -13.011202
   0.93818    -12.952572    -12.952573
   0.97168    -12.901045    -12.901045
   1.00519    -12.857452    -12.857452
