#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.00000    -14.677967  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.127
   0.03351    -14.674888  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.127
   0.06701    -14.665641  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.10052    -14.650264  0.126  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.13403    -14.628822  0.124  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.16753    -14.601417  0.123  0.000  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.126
   0.20104    -14.568160  0.121  0.000  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.126
   0.23454    -14.529215  0.120  0.000  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.126
   0.26805    -14.484735  0.117  0.000  0.000  0.003  0.003  0.000  0.000  0.000  0.000  0.126
   0.30156    -14.434929  0.114  0.003  0.000  0.006  0.003  0.000  0.000  0.000  0.000  0.125
   0.33506    -14.380026  0.111  0.003  0.000  0.006  0.003  0.000  0.000  0.000  0.000  0.123
   0.36857    -14.320282  0.108  0.003  0.000  0.009  0.003  0.000  0.000  0.000  0.000  0.123
   0.40208    -14.255998  0.105  0.003  0.000  0.009  0.003  0.000  0.000  0.000  0.000  0.123
   0.43558    -14.187528  0.102  0.003  0.000  0.009  0.006  0.000  0.000  0.000  0.003  0.123
   0.46909    -14.115217  0.096  0.003  0.000  0.012  0.006  0.000  0.000  0.000  0.003  0.122
   0.50259    -14.039468  0.093  0.003  0.000  0.012  0.006  0.000  0.000  0.000  0.003  0.120
   0.53610    -13.960729  0.089  0.006  0.000  0.015  0.009  0.000  0.000  0.000  0.003  0.120
   0.56961    -13.879506  0.084  0.006  0.000  0.015  0.009  0.000  0.000  0.000  0.003  0.120
   0.60311    -13.796332  0.080  0.006  0.000  0.018  0.012  0.000  0.000  0.000  0.003  0.119
   0.63662    -13.711804  0.075  0.006  0.000  0.020  0.012  0.000  0.000  0.000  0.003  0.118
   0.67013    -13.626541  0.069  0.006  0.000  0.021  0.015  0.000  0.000  0.000  0.006  0.117
   0.70363    -13.541248  0.066  0.009  0.000  0.024  0.015  0.000  0.000  0.000  0.006  0.117
   0.73714    -13.456666  0.060  0.009  0.000  0.024  0.018  0.000  0.000  0.000  0.006  0.117
   0.77064    -13.373592  0.054  0.009  0.000  0.027  0.019  0.000  0.000  0.000  0.006  0.117
   0.80415    -13.292878  0.051  0.009  0.000  0.027  0.021  0.000  0.000  0.000  0.006  0.117
   0.83766    -13.215441  0.045  0.009  0.000  0.030  0.024  0.000  0.000  0.000  0.009  0.116
   0.87116    -13.142184  0.042  0.009  0.000  0.030  0.026  0.000  0.000  0.000  0.009  0.116
   0.90467    -13.074068  0.036  0.011  0.000  0.032  0.027  0.000  0.000  0.000  0.009  0.116
   0.93818    -13.012043  0.033  0.012  0.000  0.033  0.030  0.000  0.000  0.000  0.009  0.116
   0.97168    -12.957059  0.030  0.012  0.000  0.033  0.030  0.000  0.000  0.000  0.009  0.116
   1.00519    -12.909996  0.026  0.012  0.000  0.035  0.033  0.000  0.000  0.000  0.012  0.116
   1.03869    -12.871649  0.024  0.012  0.000  0.036  0.033  0.000  0.000  0.000  0.012  0.116
   1.07220    -12.842693  0.021  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.116
   1.10571    -12.823662  0.021  0.012  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.117
   1.13921    -12.814995  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.13921    -12.814995  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.15856    -12.814531  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.17790    -12.813146  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.19725    -12.810848  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.21659    -12.807646  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.23594    -12.803559  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.25528    -12.798608  0.019  0.012  0.000  0.036  0.036  0.000  0.000  0.000  0.012  0.116
   1.27463    -12.792822  0.017  0.013  0.000  0.036  0.035  0.000  0.000  0.000  0.012  0.116
   1.29397    -12.786230  0.017  0.013  0.000  0.036  0.035  0.000  0.000  0.000  0.013  0.116
   1.31332    -12.778869  0.017  0.014  0.000  0.036  0.035  0.000  0.000  0.000  0.013  0.116
   1.33266    -12.770782  0.016  0.014  0.000  0.036  0.035  0.000  0.000  0.000  0.014  0.116
   1.35201    -12.762016  0.015  0.014  0.000  0.036  0.035  0.000  0.000  0.000  0.014  0.116
   1.37135    -12.752619  0.015  0.015  0.000  0.036  0.035  0.000  0.000  0.000  0.014  0.116
   1.39070    -12.742649  0.014  0.015  0.000  0.036  0.035  0.000  0.000  0.000  0.015  0.116
   1.41004    -12.732165  0.014  0.015  0.000  0.036  0.035  0.000  0.000  0.000  0.015  0.116
   1.42939    -12.721233  0.012  0.017  0.000  0.036  0.035  0.000  0.000  0.000  0.015  0.115
   1.44873    -12.709922  0.012  0.017  0.000  0.036  0.034  0.000  0.000  0.000  0.016  0.114
   1.46807    -12.698307  0.011  0.017  0.000  0.035  0.032  0.000  0.000  0.000  0.017  0.114
   1.48742    -12.686470  0.010  0.018  0.000  0.035  0.032  0.000  0.000  0.000  0.017  0.114
   1.50676    -12.674493  0.009  0.019  0.000  0.035  0.032  0.000  0.000  0.000  0.017  0.114
   1.52611    -12.662464  0.008  0.020  0.000  0.035  0.032  0.000  0.000  0.000  0.019  0.114
   1.54545    -12.650474  0.007  0.020  0.000  0.035  0.032  0.000  0.000  0.000  0.019  0.114
   1.56480    -12.638620  0.007  0.021  0.000  0.035  0.031  0.000  0.000  0.000  0.020  0.114
   1.58414    -12.627004  0.005  0.022  0.000  0.035  0.031  0.000  0.000  0.000  0.020  0.114
   1.60349    -12.615724  0.005  0.022  0.000  0.035  0.031  0.000  0.000  0.000  0.021  0.114
   1.62283    -12.604898  0.004  0.023  0.000  0.033  0.030  0.000  0.000  0.000  0.022  0.114
   1.64218    -12.594627  0.003  0.024  0.000  0.032  0.030  0.000  0.000  0.000  0.022  0.114
   1.66152    -12.585028  0.003  0.024  0.000  0.032  0.030  0.000  0.000  0.000  0.023  0.114
   1.68087    -12.576219  0.002  0.025  0.000  0.032  0.029  0.000  0.000  0.000  0.024  0.114
   1.70021    -12.568313  0.002  0.026  0.000  0.032  0.029  0.000  0.000  0.000  0.024  0.114
   1.71956    -12.561428  0.001  0.027  0.000  0.031  0.029  0.000  0.000  0.000  0.025  0.114
   1.73890    -12.555685  0.000  0.027  0.000  0.031  0.029  0.000  0.000  0.000  0.025  0.115
   1.75825    -12.551202  0.000  0.028  0.000  0.030  0.028  0.000  0.000  0.000  0.027  0.115
