#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 105  38
# Band-Index:    1
   0.00000    -14.677967  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
   0.03351    -14.674888  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
   0.06701    -14.665641  0.550  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.558
   0.10052    -14.650264  0.551  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.13403    -14.628822  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   0.16753    -14.601417  0.552  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   0.20104    -14.568160  0.554  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.23454    -14.529215  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   0.26805    -14.484735  0.556  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.567
   0.30156    -14.434929  0.558  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.568
   0.33506    -14.380026  0.561  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.570
   0.36857    -14.320282  0.562  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.574
   0.40208    -14.255998  0.564  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.576
   0.43558    -14.187528  0.568  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.579
   0.46909    -14.115217  0.570  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.582
   0.50259    -14.039468  0.574  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.586
   0.53610    -13.960729  0.576  0.000  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.589
