     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -15.63296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.56296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.49296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.42296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.35296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.28296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.21296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.07296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.00296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.93296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.86296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.79296     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.72296    -0.00000    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000    -0.00000
   -14.65296    -0.47136    -0.00003    -0.00704    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000    -0.47845
   -14.58296    -0.49872    -0.00015    -0.00795    -0.00015     0.00000     0.00000     0.00000     0.00000     0.00000    -0.50696
   -14.51196    -1.60560    -0.00046    -0.02908    -0.00046     0.00000     0.00000     0.00000     0.00000     0.00000    -1.63560
   -14.44196    -0.69540    -0.00057    -0.01234    -0.00057     0.00000     0.00000     0.00000     0.00000     0.00000    -0.70889
   -14.37196    -0.77640    -0.00102    -0.01358    -0.00102     0.00000     0.00000     0.00000     0.00000     0.00000    -0.79202
   -14.30196    -0.46863    -0.00085    -0.00800    -0.00085     0.00000     0.00000     0.00000     0.00000     0.00000    -0.47833
